,corrected,word,sum(cts)
823,sclerocornea,sclerocornea,5
824,scaring,scaring,5
825,obscured,obscured,5
826,confluence,confluence,5
827,widest,widest,5
828,spot,spot,5
829,closing,closing,5
830,bullous,bullous,5
831,repair,repair,5
832,worst,worst,5
833,quite,quite,5
834,remnant,remnant,5
835,relative,relative,5
836,rejection,rejection,5
837,attempts,attempts,5
838,obliquely,obliquely,5
839,pannuse,pannuse,5
840,caught,caught,5
841,possibly,possibly,5
842,although,although,5
843,perf,perf,5
844,conjunctivalized,conjunctivalized,5
845,since,since,5
846,barely,barely,5
847,totally,totally,5
848,mod,mod,5
849,tangenitally,"tangenitally, tangentially",5
850,nodular,nodular,5
851,pin,pin,5
852,shield,"sheild, shield",5
853,surround,surround,5
854,coverage,coverage,5
855,plus,plus,5
856,notable,notable,5
857,spee,spee,5
858,saltzmann,saltzmann,5
859,supertemporally,supertemporally,5
860,update,update,5
861,numerous,numerous,5
862,senilus,senilus,5
863,appreciate,appreciate,5
864,conj,conj,5
865,stippling,stippling,5
866,lattice,lattice,5
867,deposit,deposit,5
868,filled,filled,5
869,diagram,diagram,5
870,holes,holes,5
871,greatly,greatly,5
872,documented,documented,5
873,gutter,gutter,5
874,degree,degree,5
875,furrow,furrow,5
876,leakage,leakage,5
877,donor,donor,5
878,immune,immune,5
879,having,having,5
880,haziness,haziness,5
881,hyphema,hyphema,5
882,decrease,decrease,5
883,decreasing,decreasing,5
884,knot,knot,5
885,knots,knots,5
886,least,least,5
887,irregularities,irregularities,5
888,examination,examination,5
889,erosion,erosion,5
890,leukocytes,leukocytes,5
891,desc,desc,5
892,even,even,5
893,jx,jx,5
894,infnasal,infnasal,5
895,generalized,generalized,5
896,infiltrative,"infiltraive, infiltrative",5
897,described,described,5
898,flatter,flatter,5
899,hole,hole,5
900,displaced,displaced,5
901,drainage,drainage,5
902,fibrovascular,fibrovascular,5
903,heart,heart,4
904,connected,connected,4
905,bubble,bubble,4
906,bubbles,bubbles,4
907,regressed,regressed,4
908,bilobed,bilobed,4
909,rough,rough,4
910,roughened,roughened,4
911,rpm,rpm,4
912,moving,moving,4
913,dseak,dseak,4
914,reflex,reflex,4
915,contracted,contracted,4
916,overhang,overhang,4
917,greater,greater,4
918,sharply,sharply,4
919,ghosted,ghosted,4
920,beat,beat,4
921,midway,midway,4
922,bare,bare,4
923,here,here,4
924,regressing,regressing,4
925,recruitment,recruitment,4
926,coalesced,coalesced,4
927,infranasally,infranasally,4
928,portable,portable,4
929,did,did,4
930,pinpt,pinpt,4
931,coating,coating,4
932,pictured,pictured,4
933,periph,periph,4
934,predominantly,predominantly,4
935,interpalpebrally,interpalpebrally,4
936,pmns,pmns,4
937,detached,detached,4
938,infiltratete,"infiltratel, infiltratete",4
939,para,para,4
940,ovoid,ovoid,4
941,post,post,4
942,improvement,improvement,4
943,demarcated,demarcated,4
944,bulla,bulla,4
945,nerves,nerves,4
946,island,island,4
947,irregularly,irregularly,4
948,denser,denser,4
949,densest,densest,4
950,concentrated,concentrated,4
951,however,however,4
952,improve,improve,4
953,pulsations,pulsations,4
954,component,component,4
955,pseudopodial,pseudopodial,4
956,pseudo,pseudo,4
957,prosthetic,prosthetic,4
958,oblique,oblique,4
959,bank,bank,4
960,keratectasia,keratectasia,4
961,test,test,4
962,lots,lots,4
963,acruate,"acruate, arcuate",4
964,supernasal,supernasal,4
965,oflox,oflox,4
966,swirled,"swirled, sworled",4
967,swollen,swollen,4
968,deferred,deferred,4
969,anteriorly,anteriorly,4
970,angle,angle,4
971,spared,spared,4
972,thining,thining,4
973,filling,filling,4
974,adjoining,adjoining,4
975,top,top,4
976,ed,ed,4
977,trichiatic,trichiatic,4
978,ulcers,ulcers,4
979,localized,localized,4
980,unclear,unclear,4
981,lobe,lobe,4
982,unexposed,unexposed,4
983,mdf,mdf,4
984,visualized,visualized,4
985,curvilinear,curvilinear,4
986,cystic,cystic,4
987,fleischer,fleischer,4
988,esp,esp,4
989,maybe,maybe,4
990,infracentral,infracentral,4
991,melt,melt,4
992,spreading,spreading,4
993,friday,friday,4
994,microcysts,microcysts,4
995,away,away,4
996,stains,stains,4
997,attachment,attachment,4
998,meniscus,meniscus,4
999,chemosis,chemosis,3
1000,infero,infero,3
1001,pm,pm,3
1002,becoming,becoming,3
1003,indistinct,indistinct,3
1004,indented,indented,3
1005,diffused,diffused,3
1006,satellites,satellites,3
1007,staph,staph,3
1008,ball,ball,3
1009,precipitate,precipitate,3
1010,triple,triple,3
1011,cand,cand,3
1012,granulomatous,granulomatous,3
1013,fat,fat,3
1014,primarily,primarily,3
1015,impeding,impeding,3
1016,tract,tract,3
1017,ulcerated,ulcerated,3
1018,eyelash,eyelash,3
1019,abut,abut,3
1020,week,week,3
1021,er,er,3
1022,slow,slow,3
1023,sloughed,sloughed,3
1024,whorling,"whirling, whorling",3
1025,particularly,particularly,3
1026,sliver,sliver,3
1027,exams,exams,3
1028,haabs,haabs,3
1029,inferotemproal,inferotemproal,3
1030,pek,pek,3
1031,exudation,exudation,3
1032,perforated,perforated,3
1033,performed,performed,3
1034,pericentrally,pericentrally,3
1035,circle,circle,3
1036,ciloxan,ciloxan,3
1037,slazmanns,slazmanns,3
1038,persistent,persistent,3
1039,mmx,mmx,3
1040,photo,photo,3
1041,track,track,3
1042,setting,setting,3
1043,discharge,discharge,3
1044,structures,structures,3
1045,assessment,assessment,3
1046,hinge,hinge,3
1047,ecatatic,ecatatic,3
1048,swelling,swelling,3
1049,flattening,flattening,3
1050,supranasally,supranasally,3
1051,build,build,3
1052,removal,removal,3
1053,superotermporal,superotermporal,3
1054,heaping,heaping,3
1055,safety,safety,3
1056,haab,haab,3
1057,bite,bite,3
1058,retained,retained,3
1059,disruption,disruption,3
1060,blink,blink,3
1061,folded,folded,3
1062,subepithelium,subepithelium,3
1063,focus,focus,3
1064,fold,"dfold, fold",3
1065,flare,flare,3
1066,recently,recently,3
1067,rtbut,rtbut,3
1068,strip,strip,3
1069,too,too,3
1070,together,together,3
1071,pt,pt,3
1072,tip,"qtip, tip",3
1073,hypertrophy,hypertrophy,3
1074,fibrinous,fibrinous,3
1075,purulent,purulent,3
1076,questionable,questionable,3
1077,third,third,3
1078,stippled,stippled,3
1079,dislodged,dislodged,3
1080,stitch,stitch,3
1081,grossly,grossly,3
1082,tension,tension,3
1083,temptotally,temptotally,3
1084,rxn,rxn,3
1085,tears,tears,3
1086,rb,rb,3
1087,reaching,reaching,3
1088,som,som,3
1089,lg,lg,3
1090,lifting,lifting,3
1091,corner,corner,3
1092,movement,movement,3
1093,leaking,leaking,3
1094,originating,originating,3
1095,interiorly,"ineriorly, interiorly",3
1096,lowlying,lowlying,3
1097,min,min,3
1098,max,max,3
1099,limits,limits,3
1100,move,move,3
1101,look,look,3
1102,marks,marks,3
1103,minimally,minimally,3
1104,continues,continues,3
1105,metallic,metallic,3
1106,open,open,3
1107,contracting,contracting,3
1108,conjunctival,conjunctival,3
1109,little,little,3
1110,maximum,maximum,3
1111,name,name,3
1112,lowest,lowest,3
1113,outlines,outlines,3
1114,mainly,mainly,3
1115,continued,continued,3
1116,deposited,deposited,3
1117,medially,medially,3
1118,mutton,mutton,3
1119,course,course,3
1120,microstriae,microstriae,3
1121,interfaces,interfaces,3
1122,addition,addition,2
1123,either,either,2
1124,fibrosis,fibrosis,2
1125,allow,allow,2
1126,remainder,remainder,2
1127,cloudly,cloudly,2
1128,finer,finer,2
1129,times,times,2
1130,resembles,resembles,2
1131,ti,ti,2
1132,ahead,ahead,2
1133,removing,removing,2
1134,microcornea,microcornea,2
1135,resting,resting,2
1136,laterally,laterally,2
1137,resembling,resembling,2
1138,requiring,requiring,2
1139,layered,layered,2
1140,loosen,loosen,2
1141,red,red,2
1142,necrosis,necrosis,2
1143,concern,concern,2
1144,type,type,2
1145,nothing,nothing,2
1146,iridocorneal,iridocorneal,2
1147,put,put,2
1148,note,note,2
1149,abrasions,abrasions,2
1150,question,question,2
1151,disintegrating,disintegrating,2
1152,horz,horz,2
1153,truncated,truncated,2
1154,dispersed,dispersed,2
1155,radiating,radiating,2
1156,irritation,irritation,2
1157,refused,refused,2
1158,bulbs,bulbs,2
1159,rather,rather,2
1160,long,long,2
1161,triangle,triangle,2
1162,translucent,translucent,2
1163,recent,recent,2
1164,wessely,wessely,2
1165,broad,broad,2
1166,jxn,jxn,2
1167,reduced,reduced,2
1168,reduction,reduction,2
1169,crosses,crosses,2
1170,heal,heal,2
1171,distribution,distribution,2
1172,amniotic,amniotic,2
1173,microvascular,microvascular,2
1174,supratemporally,supratemporally,2
1175,supratemporal,supratemporal,2
1176,inner,inner,2
1177,flecktenules,flecktenules,2
1178,supplying,supplying,2
1179,significantly,significantly,2
1180,appreciated,appreciated,2
1181,ks,ks,2
1182,fluor,fluor,2
1183,gently,gently,2
1184,midstromal,midstromal,2
1185,slt,slt,2
1186,foci,foci,2
1187,rose,rose,2
1188,measurement,measurement,2
1189,subconjunctival,subconjunctival,2
1190,bands,bands,2
1191,couple,couple,2
1192,spks,spks,2
1193,speculum,speculum,2
1194,forceps,forceps,2
1195,ecce,ecce,2
1196,cotton,cotton,2
1197,squeezing,squeezing,2
1198,fragment,fragment,2
1199,back,back,2
1200,behaves,behaves,2
1201,sever,sever,2
1202,mixture,mixture,2
1203,apical,apical,2
1204,rotated,rotated,2
1205,brawny,brawny,2
1206,terminal,terminal,2
1207,consider,consider,2
1208,ruptured,ruptured,2
1209,anophthalmia,"anophthalmia, anophthalmic",2
1210,dehiscence,dehiscence,2
1211,pulling,pulling,2
1212,fissure,fissure,2
1213,make,make,2
1214,deffect,deffect,2
1215,bland,bland,2
1216,moved,moved,2
1217,scleritis,scleritis,2
1218,do,do,2
1219,guttering,guttering,2
1220,secondary,secondary,2
1221,tall,tall,2
1222,map,map,2
1223,tail,tail,2
1224,big,big,2
1225,bengal,bengal,2
1226,lake,lake,2
1227,semilunar,semilunar,2
1228,mobile,mobile,2
1229,leaks,leaks,2
1230,micro,micro,2
1231,fallen,fallen,2
1232,triesence,triesence,2
1233,organized,organized,2
1234,pointing,pointing,2
1235,points,points,2
1236,external,external,2
1237,description,description,2
1238,off,off,2
1239,partial,partial,2
1240,exudate,exudate,2
1241,ce,ce,2
1242,keratization,keratization,2
1243,incarceration,incarceration,2
1244,vascularity,vascularity,2
1245,lids,lids,2
1246,cataract,cataract,2
1247,close,close,2
1248,descemets,descemets,2
1249,vasculariation,vasculariation,2
1250,level,level,2
1251,wrinkles,wrinkles,2
1252,intervening,intervening,2
1253,inferotmeporal,inferotmeporal,2
1254,infectious,infectious,2
1255,endoth,endoth,2
1256,wetting,wetting,2
1257,coalescence,coalescence,2
1258,inferiotemporal,inferiotemporal,2
1259,picture,picture,2
1260,diagonally,diagonally,2
1261,coalescent,coalescent,2
1262,ip,ip,2
1263,volume,volume,2
1264,determine,determine,2
1265,ptery,ptery,2
1266,vitreous,vitreous,2
1267,slet,slet,2
1268,cheesewired,cheesewired,2
1269,change,change,2
1270,whorls,whorls,2
1271,eversion,eversion,2
1272,inferionasally,inferionasally,2
1273,details,details,2
1274,wrinkling,wrinkling,2
1275,vasc,vasc,2
1276,unsure,unsure,2
1277,injected,injected,2
1278,unchanged,unchanged,2
1279,overling,overling,2
1280,ovaloid,ovaloid,2
1281,depressed,depressed,2
1282,overlaying,overlaying,2
1283,able,able,2
1284,proparacaine,proparacaine,2
1285,complex,complex,2
1286,nummular,nummular,2
1287,local,local,2
1288,epitheliazed,epitheliazed,2
1289,locally,locally,2
1290,promeninet,promeninet,2
1291,image,image,2
1292,eyelid,eyelid,2
1293,intrastromally,intrastromally,2
1295,obscuring,obscuring,2
1296,colored,colored,2
1297,upside,upside,2
1298,apparent,apparent,1
1299,found,found,1
1300,lacy,lacy,1
1301,applanated,applanated,1
1302,suptemp,suptemp,1
1303,evaluation,evaluation,1
1304,will,will,1
1305,supranasal,supranasal,1
1306,evident,evident,1
1307,equal,equal,1
1308,zipping,zipping,1
1309,day,day,1
1310,dyed,dyed,1
1311,sutured,sutured,1
1312,anymore,anymore,1
1313,franke,franke,1
1314,swath,swath,1
1315,decr,decr,1
1316,covers,covers,1
1317,whirled,whirled,1
1318,metal,metal,1
1319,swirling,swirling,1
1320,creamy,creamy,1
1321,laik,laik,1
1322,meridians,meridians,1
1323,steroid,steroid,1
1324,df,df,1
1325,attaching,attaching,1
1326,lifted,lifted,1
1327,yag,yag,1
1328,withing,withing,1
1329,fluorescen,fluorescen,1
1330,edemaouts,edemaouts,1
1331,irr,irr,1
1332,assoc,assoc,1
1333,essentially,essentially,1
1334,khodadoust,khodadoust,1
1335,measing,measing,1
1336,brocken,brocken,1
1337,stripe,stripe,1
1339,measured,measured,1
1340,khoudadoust,khoudadoust,1
1341,bsk,bsk,1
1342,streak,streak,1
1343,arms,arms,1
1344,emr,emr,1
1345,counted,counted,1
1346,could,could,1
1347,flour,flour,1
1348,applicator,applicator,1
1349,fornix,fornix,1
1350,melting,melting,1
1351,yest,yest,1
1352,laceration,laceration,1
1353,wiped,wiped,1
1354,superotemp,superotemp,1
1355,wisp,wisp,1
1356,edena,edena,1
1357,wit,wit,1
1358,strand,strand,1
1359,superiotemporally,superiotemporally,1
1361,tem,tem,1
1362,limus,limus,1
1363,whether,whether,1
1364,lissamine,lissamine,1
1365,sx,sx,1
1366,fewer,fewer,1
1367,va,va,1
1368,variable,variable,1
1369,fiber,fiber,1
1370,fibers,fibers,1
1371,decements,decements,1
1372,ton,ton,1
1373,crescentic,crescentic,1
1374,act,act,1
1375,activity,activity,1
1376,gdd,gdd,1
1377,tipped,tipped,1
1378,lot,lot,1
1379,wpti,wpti,1
1380,psl,psl,1
1381,adequate,adequate,1
1382,vasculature,vasculature,1
1383,eyes,eyes,1
1384,fernlike,fernlike,1
1385,absence,absence,1
1386,embd,embd,1
1387,abnormability,abnormability,1
1388,tween,tween,1
1389,vn,vn,1
1390,underlining,underlining,1
1391,faintly,faintly,1
1392,schafer,schafer,1
1393,embedded,embedded,1
1394,fain,fain,1
1395,trichiasis,trichiasis,1
1396,looking,looking,1
1397,crystaline,crystaline,1
1398,upon,upon,1
1399,trauma,trauma,1
1400,feeding,feeding,1
1401,faded,faded,1
1402,tracts,tracts,1
1403,uptak,uptak,1
1404,feel,feel,1
1405,venting,venting,1
1406,advanced,advanced,1
1407,pbk,pbk,1
1408,lscd,lscd,1
1409,encompassing,encompassing,1
1410,cultures,cultures,1
1411,majority,majority,1
1412,annular,annular,1
1413,first,first,1
1414,far,far,1
1415,losse,losse,1
1416,tell,tell,1
1417,extended,extended,1
1418,macula,macula,1
1419,manipulate,manipulate,1
1420,fixation,fixation,1
1421,flaky,flaky,1
1422,wb,wb,1
1423,curled,curled,1
1424,were,were,1
1425,excavation,excavation,1
1426,current,current,1
1427,defectbut,defectbut,1
1428,debrided,debrided,1
1429,nafl,nafl,1
1430,air,air,1
1431,affected,affected,1
1432,midper,midper,1
1433,lri,lri,1
1434,lashes,lashes,1
1435,age,age,1
1436,meibomian,meibomian,1
1437,elevations,elevations,1
1438,ago,ago,1
1439,linking,linking,1
1440,anesthetic,anesthetic,1
1441,emoved,emoved,1
1442,these,these,1
1443,vis,vis,1
1444,dmfs,dmfs,1
1445,finger,finger,1
1446,amt,amt,1
1447,encompasses,encompasses,1
1448,aesthesiometer,aesthesiometer,1
1449,outpouching,outpouching,1
1450,drawn,drawn,1
1451,standard,standard,1
1452,caliber,caliber,1
1453,ill,ill,1
1454,ca,ca,1
1455,prolonged,prolonged,1
1456,prolapse,prolapse,1
1457,involve,involve,1
1458,projections,projections,1
1459,prohibiting,prohibiting,1
1460,processes,processes,1
1461,process,process,1
1462,oblong,oblong,1
1463,calcified,calcified,1
1464,obscuration,obscuration,1
1465,pretty,pretty,1
1466,disappearing,disappearing,1
1467,presentation,presentation,1
1468,observed,observed,1
1469,color,color,1
1470,dilation,dilation,1
1471,occurred,occurred,1
1472,inability,inability,1
1473,incarcerated,incarcerated,1
1474,coloboma,coloboma,1
1475,incomplete,incomplete,1
1476,positively,positively,1
1477,causing,causing,1
1478,od,od,1
1479,direct,direct,1
1480,protecting,protecting,1
1481,ofloxacin,ofloxacin,1
1482,bulbing,bulbing,1
1483,july,july,1
1484,rectanular,rectanular,1
1485,itself,itself,1
1486,recorded,recorded,1
1487,recipient,recipient,1
1488,neovascular,neovascular,1
1489,confirmed,confirmed,1
1490,reattaching,reattaching,1
1491,reattached,reattached,1
1492,reason,reason,1
1493,really,really,1
1494,his,his,1
1495,configuration,configuration,1
1496,nylons,nylons,1
1497,dendriform,dendriform,1
1498,wnl,wnl,1
1499,nongranulomatous,nongranulomatous,1
1500,quarter,quarter,1
1501,quadrants,quadrants,1
1502,hr,hr,1
1503,noticeable,noticeable,1
1504,punctal,punctal,1
1505,neovas,neovas,1
1506,ptyergium,ptyergium,1
1507,iridescent,iridescent,1
1508,proze,proze,1
1509,collection,collection,1
1510,pools,pools,1
1511,liasion,liasion,1
1512,parralel,parralel,1
1513,circumference,circumference,1
1514,opposed,opposed,1
1515,inferotemp,inferotemp,1
1516,interpalp,interpalp,1
1517,optical,optical,1
1518,clumped,clumped,1
1519,clarity,clarity,1
1520,classic,classic,1
1521,orientation,orientation,1
1522,cleared,cleared,1
1523,os,os,1
1524,infiltratrate,infiltratrate,1
1525,parallel,parallel,1
1526,perhaps,perhaps,1
1527,descmetocele,descmetocele,1
1528,clockwise,clockwise,1
1529,paracentesis,paracentesis,1
1530,palpebral,palpebral,1
1531,clue,clue,1
1532,phaco,phaco,1
1533,descematocele,descematocele,1
1534,outer,outer,1
1535,closer,closer,1
1536,centerally,centerally,1
1537,initially,initially,1
1538,clot,clot,1
1539,perforations,perforations,1
1540,clumps,clumps,1
1541,centralized,centralized,1
1542,chemotic,chemotic,1
1543,pokes,pokes,1
1544,oily,oily,1
1545,pocket,pocket,1
1546,infcentral,infcentral,1
1547,ok,ok,1
1548,inferionasal,inferionasal,1
1549,plaq,plaq,1
1550,checked,checked,1
1551,ctl,ctl,1
1552,diamond,diamond,1
1553,inferiorant,inferiorant,1
1554,imbus,imbus,1
1555,interval,interval,1
1556,inferolateral,inferolateral,1
1557,pieces,pieces,1
1558,vicryl,vicryl,1
1559,picks,picks,1
1560,inferiortemporal,inferiortemporal,1
1561,photophobia,photophobia,1
1562,persists,persists,1
1563,persisting,persisting,1
1564,clusters,clusters,1
1565,opacifying,opacifying,1
1566,inferiotemporally,inferiotemporally,1
1567,cluster,cluster,1
1568,circles,circles,1
1569,highly,highly,1
1570,regular,regular,1
1572,goes,goes,1
1573,slide,slide,1
1574,sle,sle,1
1575,might,might,1
1576,cornealepithelial,cornealepithelial,1
1577,copious,copious,1
1578,because,because,1
1579,dryness,dryness,1
1580,beds,beds,1
1581,glob,glob,1
1582,globe,globe,1
1583,dry,dry,1
1584,drops,drops,1
1585,short,short,1
1586,get,get,1
1587,shifted,shifted,1
1588,control,control,1
1589,dots,dots,1
1590,granularity,granularity,1
1591,minor,minor,1
1592,gray,gray,1
1593,behing,behing,1
1594,separating,separating,1
1595,sensitivity,sensitivity,1
1596,believe,believe,1
1597,ked,ked,1
1598,green,green,1
1599,ghjx,ghjx,1
1600,degraded,degraded,1
1601,month,month,1
1602,speckled,speckled,1
1603,stained,stained,1
1604,bad,bad,1
1605,dye,dye,1
1606,definitive,definitive,1
1607,spotty,spotty,1
1608,frankly,frankly,1
1609,frequently,frequently,1
1610,spokewheel,spokewheel,1
1611,spl,spl,1
1612,degeneration,degeneration,1
1613,spin,spin,1
1614,specks,specks,1
1615,sparse,sparse,1
1616,midline,midline,1
1617,bandaged,bandaged,1
1618,spares,spares,1
1619,micropthalmic,micropthalmic,1
1620,spaces,spaces,1
1621,space,space,1
1622,dumbbell,dumbbell,1
1623,micropuncture,micropuncture,1
1624,software,software,1
1625,soft,soft,1
1626,microscopic,microscopic,1
1627,further,further,1
1628,smoky,smoky,1
1629,monday,monday,1
1630,moorens,moorens,1
1631,her,her,1
1632,conjunctivilazation,conjunctivilazation,1
1633,retro,retro,1
1634,leticule,leticule,1
1635,reticular,reticular,1
1636,nvg,nvg,1
1637,response,response,1
1638,brown,brown,1
1639,resolves,resolves,1
1640,conjuntivalization,conjuntivalization,1
1641,nature,nature,1
1642,represents,represents,1
1643,represent,represent,1
1644,replace,replace,1
1645,bubbling,bubbling,1
1646,revealing,revealing,1
1647,remove,remove,1
1648,nearby,nearby,1
1649,remote,remote,1
1650,heavy,heavy,1
1651,disrupted,disrupted,1
1652,remarkably,remarkably,1
1653,nearing,nearing,1
1654,bulbar,bulbar,1
1655,remained,remained,1
1656,remain,remain,1
1657,delineated,delineated,1
1658,hemorrhage,hemorrhage,1
1659,dissipating,dissipating,1
1660,healded,healded,1
1661,continuing,continuing,1
1663,secure,secure,1
1664,sector,sector,1
1665,secretion,secretion,1
1666,seconds,seconds,1
1667,had,had,1
1668,hair,hair,1
1669,halo,halo,1
1670,hard,hard,1
1671,saw,saw,1
1672,divet,divet,1
1673,scl,scl,1
1674,consolidate,consolidate,1
1675,rusty,rusty,1
1676,riding,riding,1
1677,june,june,1
1678,hazing,hazing,1
1679,rtfbut,rtfbut,1
1680,rounded,rounded,1
1681,dissolving,dissolving,1
1682,rought,rought,1
1683,multifocally,multifocally,1
1684,connects,connects,1
1685,breakdown,breakdown,1
1686,brief,brief,1
1687,rinsed,rinsed,1
1688,right,right,1
1689,overgrowth,overgrowth,1
